Sr no,Size,Speed(Rpm),Depth Of Cut (mm),Feed Rate(mm/Rev)
,,,,
1,10 mm Thk  X 100 mm x 100 mm Lg.,1500,0.5,0.12
2,10 mm Thk  X 100 mm x 100 mm Lg.,1500,0.5,0.18
3,10 mm Thk  X 100 mm x 100 mm Lg.,1500,0.5,0.24
4,10 mm Thk  X 100 mm x 100 mm Lg.,1500,1,0.12
5,10 mm Thk  X 100 mm x 100 mm Lg.,1500,1,0.18
6,10 mm Thk  X 100 mm x 100 mm Lg.,1500,1,0.24
7,10 mm Thk  X 100 mm x 100 mm Lg.,1500,1.25,0.12
8,10 mm Thk  X 100 mm x 100 mm Lg.,1500,1.25,0.18
9,10 mm Thk  X 100 mm x 100 mm Lg.,1500,1.25,0.24
10,10 mm Thk  X 100 mm x 100 mm Lg.,1800,1.25,0.12
11,10 mm Thk  X 100 mm x 100 mm Lg.,1800,1.25,0.18
12,10 mm Thk  X 100 mm x 100 mm Lg.,1800,1.25,0.24
13,10 mm Thk  X 100 mm x 100 mm Lg.,1800,0.5,0.12
14,10 mm Thk  X 100 mm x 100 mm Lg.,1800,0.5,0.18
15,10 mm Thk  X 100 mm x 100 mm Lg.,1800,0.5,0.24
16,10 mm Thk  X 100 mm x 100 mm Lg.,1800,1,0.12
17,10 mm Thk  X 100 mm x 100 mm Lg.,1800,1,0.18
18,10 mm Thk  X 100 mm x 100 mm Lg.,1800,1,0.24
19,10 mm Thk  X 100 mm x 100 mm Lg.,2000,1,0.12
20,10 mm Thk  X 100 mm x 100 mm Lg.,2000,1,0.18
21,10 mm Thk  X 100 mm x 100 mm Lg.,2000,1,0.24
22,10 mm Thk  X 100 mm x 100 mm Lg.,2000,1.25,0.12
23,10 mm Thk  X 100 mm x 100 mm Lg.,2000,1.25,0.18
24,10 mm Thk  X 100 mm x 100 mm Lg.,2000,1.25,0.24
25,10 mm Thk  X 100 mm x 100 mm Lg.,2000,0.5,0.12
26,10 mm Thk  X 100 mm x 100 mm Lg.,2000,0.5,0.18
27,10 mm Thk  X 100 mm x 100 mm Lg.,2000,0.5,0.24
